subject,activity,Variable,Average
1,WALKING,angle(tbodyaccjerkmean)_gravitymean),0.009018109435446687
1,WALKING,angle(tbodyaccmean_gravity),0.037607705705792506
1,WALKING,angle(tbodygyrojerkmean_gravitymean),-0.0016303535815561957
1,WALKING,angle(tbodygyromean_gravitymean),-0.013450953411239194
1,WALKING,angle(x_gravitymean),-0.5357737652449568
1,WALKING,angle(y_gravitymean),0.12279025080144092
1,WALKING,angle(z_gravitymean),-0.03907901772334294
1,WALKING,fbodyacc_bandsenergy_1_16...312,-0.8268233146974063
1,WALKING,fbodyacc_bandsenergy_1_16...326,-0.677183778962536
1,WALKING,fbodyacc_bandsenergy_1_16...340,-0.8117127967146974
1,WALKING,fbodyacc_bandsenergy_1_24...316,-0.8189994702017291
1,WALKING,fbodyacc_bandsenergy_1_24...330,-0.6725577218731988
1,WALKING,fbodyacc_bandsenergy_1_24...344,-0.7986991545244957
1,WALKING,fbodyacc_bandsenergy_1_8...304,-0.824915775907781
1,WALKING,fbodyacc_bandsenergy_1_8...318,-0.7491383678674352
1,WALKING,fbodyacc_bandsenergy_1_8...332,-0.7904557556772335
1,WALKING,fbodyacc_bandsenergy_17_24...306,-0.7167247421925073
1,WALKING,fbodyacc_bandsenergy_17_24...320,-0.8161551187925072
1,WALKING,fbodyacc_bandsenergy_17_24...334,-0.9049191851585014
1,WALKING,fbodyacc_bandsenergy_17_32...313,-0.703414042628242
1,WALKING,fbodyacc_bandsenergy_17_32...327,-0.7879133161959654
1,WALKING,fbodyacc_bandsenergy_17_32...341,-0.9198328209221902
1,WALKING,fbodyacc_bandsenergy_25_32...307,-0.8207102985244957
1,WALKING,fbodyacc_bandsenergy_25_32...321,-0.8808276985014409
1,WALKING,fbodyacc_bandsenergy_25_32...335,-0.945999508184438
1,WALKING,fbodyacc_bandsenergy_25_48...317,-0.8229737299423631
1,WALKING,fbodyacc_bandsenergy_25_48...331,-0.8603365315850144
1,WALKING,fbodyacc_bandsenergy_25_48...345,-0.9469051317291066
1,WALKING,fbodyacc_bandsenergy_33_40...308,-0.9016925559959654
1,WALKING,fbodyacc_bandsenergy_33_40...322,-0.8556493405763689
1,WALKING,fbodyacc_bandsenergy_33_40...336,-0.9619202918155619
1,WALKING,fbodyacc_bandsenergy_33_48...314,-0.8980281691239194
1,WALKING,fbodyacc_bandsenergy_33_48...328,-0.834397279074928
1,WALKING,fbodyacc_bandsenergy_33_48...342,-0.949118167665706
1,WALKING,fbodyacc_bandsenergy_41_48...309,-0.8918789192276657
1,WALKING,fbodyacc_bandsenergy_41_48...323,-0.8433173971930836
1,WALKING,fbodyacc_bandsenergy_41_48...337,-0.9229172905475505
1,WALKING,fbodyacc_bandsenergy_49_56...310,-0.9290929536887608
1,WALKING,fbodyacc_bandsenergy_49_56...324,-0.8533779918731988
1,WALKING,fbodyacc_bandsenergy_49_56...338,-0.9249308221325648
1,WALKING,fbodyacc_bandsenergy_49_64...315,-0.9336399721325649
1,WALKING,fbodyacc_bandsenergy_49_64...329,-0.8794454394524496
1,WALKING,fbodyacc_bandsenergy_49_64...343,-0.9301505288789625
1,WALKING,fbodyacc_bandsenergy_57_64...311,-0.9426590558876081
1,WALKING,fbodyacc_bandsenergy_57_64...325,-0.9264308654178675
1,WALKING,fbodyacc_bandsenergy_57_64...339,-0.9444397388184438
1,WALKING,fbodyacc_bandsenergy_9_16...305,-0.88661261870317
1,WALKING,fbodyacc_bandsenergy_9_16...319,-0.7461187574389049
1,WALKING,fbodyacc_bandsenergy_9_16...333,-0.9354744070893372
1,WALKING,fbodyacc_energy_x,-0.8187893542363113
1,WALKING,fbodyacc_energy_y,-0.6695293763976945
1,WALKING,fbodyacc_energy_z,-0.7940346506628242
1,WALKING,fbodyacc_entropy_x,-0.03012094150979827
1,WALKING,fbodyacc_entropy_y,-0.03377888355619597
1,WALKING,fbodyacc_entropy_z,-0.10100228665417867
1,WALKING,fbodyacc_iqr_x,-0.5194293872181556
1,WALKING,fbodyacc_iqr_y,-0.5545655886604611
1,WALKING,fbodyacc_iqr_z,-0.7020833321152737
1,WALKING,fbodyacc_kurtosis_x,-0.5257058924815562
1,WALKING,fbodyacc_kurtosis_y,-0.5069713707037464
1,WALKING,fbodyacc_kurtosis_z,-0.407213740707781
1,WALKING,fbodyacc_mad_x,-0.5088750390100865
1,WALKING,fbodyacc_mad_y,-0.3954897760870317
1,WALKING,fbodyacc_mad_z,-0.5582555467340058
1,WALKING,fbodyacc_max_x,-0.6312567303387032
1,WALKING,fbodyacc_max_y,-0.5461290488945245
1,WALKING,fbodyacc_max_z,-0.4673738131930836
1,WALKING,fbodyacc_maxinds_x,-0.7620154301412103
1,WALKING,fbodyacc_maxinds_y,-0.7815561953919309
1,WALKING,fbodyacc_maxinds_z,-0.9029040105965418
1,WALKING,fbodyacc_mean_x,-0.5318951612582132
1,WALKING,fbodyacc_mean_y,-0.40643544890443806
1,WALKING,fbodyacc_mean_z,-0.5964111652536023
1,WALKING,fbodyacc_meanfreq_x,-0.18055871401074927
1,WALKING,fbodyacc_meanfreq_y,0.0576291646962536
1,WALKING,fbodyacc_meanfreq_z,0.05836927766097983
1,WALKING,fbodyacc_min_x,-0.8199044257354466
1,WALKING,fbodyacc_min_y,-0.8400513041613833
1,WALKING,fbodyacc_min_z,-0.888354333573487
1,WALKING,fbodyacc_skewness_x,-0.18822715215504324
1,WALKING,fbodyacc_skewness_y,-0.20436049124178673
