"subject" "activity" "Variable" "Average"
1 "WALKING" "angle(tbodyaccjerkmean)_gravitymean)" 0.00901810943544669
1 "WALKING" "angle(tbodyaccmean_gravity)" 0.0376077057057925
1 "WALKING" "angle(tbodygyrojerkmean_gravitymean)" -0.0016303535815562
1 "WALKING" "angle(tbodygyromean_gravitymean)" -0.0134509534112392
1 "WALKING" "angle(x_gravitymean)" -0.535773765244957
1 "WALKING" "angle(y_gravitymean)" 0.122790250801441
1 "WALKING" "angle(z_gravitymean)" -0.0390790177233429
1 "WALKING" "fbodyacc_bandsenergy_1_16...312" -0.826823314697406
1 "WALKING" "fbodyacc_bandsenergy_1_16...326" -0.677183778962536
1 "WALKING" "fbodyacc_bandsenergy_1_16...340" -0.811712796714697
1 "WALKING" "fbodyacc_bandsenergy_1_24...316" -0.818999470201729
1 "WALKING" "fbodyacc_bandsenergy_1_24...330" -0.672557721873199
1 "WALKING" "fbodyacc_bandsenergy_1_24...344" -0.798699154524496
1 "WALKING" "fbodyacc_bandsenergy_1_8...304" -0.824915775907781
1 "WALKING" "fbodyacc_bandsenergy_1_8...318" -0.749138367867435
1 "WALKING" "fbodyacc_bandsenergy_1_8...332" -0.790455755677233
1 "WALKING" "fbodyacc_bandsenergy_17_24...306" -0.716724742192507
1 "WALKING" "fbodyacc_bandsenergy_17_24...320" -0.816155118792507
1 "WALKING" "fbodyacc_bandsenergy_17_24...334" -0.904919185158501
1 "WALKING" "fbodyacc_bandsenergy_17_32...313" -0.703414042628242
1 "WALKING" "fbodyacc_bandsenergy_17_32...327" -0.787913316195965
1 "WALKING" "fbodyacc_bandsenergy_17_32...341" -0.91983282092219
1 "WALKING" "fbodyacc_bandsenergy_25_32...307" -0.820710298524496
1 "WALKING" "fbodyacc_bandsenergy_25_32...321" -0.880827698501441
1 "WALKING" "fbodyacc_bandsenergy_25_32...335" -0.945999508184438
1 "WALKING" "fbodyacc_bandsenergy_25_48...317" -0.822973729942363
1 "WALKING" "fbodyacc_bandsenergy_25_48...331" -0.860336531585014
1 "WALKING" "fbodyacc_bandsenergy_25_48...345" -0.946905131729107
1 "WALKING" "fbodyacc_bandsenergy_33_40...308" -0.901692555995965
1 "WALKING" "fbodyacc_bandsenergy_33_40...322" -0.855649340576369
1 "WALKING" "fbodyacc_bandsenergy_33_40...336" -0.961920291815562
1 "WALKING" "fbodyacc_bandsenergy_33_48...314" -0.898028169123919
1 "WALKING" "fbodyacc_bandsenergy_33_48...328" -0.834397279074928
1 "WALKING" "fbodyacc_bandsenergy_33_48...342" -0.949118167665706
1 "WALKING" "fbodyacc_bandsenergy_41_48...309" -0.891878919227666
1 "WALKING" "fbodyacc_bandsenergy_41_48...323" -0.843317397193084
1 "WALKING" "fbodyacc_bandsenergy_41_48...337" -0.92291729054755
1 "WALKING" "fbodyacc_bandsenergy_49_56...310" -0.929092953688761
1 "WALKING" "fbodyacc_bandsenergy_49_56...324" -0.853377991873199
1 "WALKING" "fbodyacc_bandsenergy_49_56...338" -0.924930822132565
1 "WALKING" "fbodyacc_bandsenergy_49_64...315" -0.933639972132565
1 "WALKING" "fbodyacc_bandsenergy_49_64...329" -0.87944543945245
1 "WALKING" "fbodyacc_bandsenergy_49_64...343" -0.930150528878963
1 "WALKING" "fbodyacc_bandsenergy_57_64...311" -0.942659055887608
1 "WALKING" "fbodyacc_bandsenergy_57_64...325" -0.926430865417867
1 "WALKING" "fbodyacc_bandsenergy_57_64...339" -0.944439738818444
1 "WALKING" "fbodyacc_bandsenergy_9_16...305" -0.88661261870317
1 "WALKING" "fbodyacc_bandsenergy_9_16...319" -0.746118757438905
1 "WALKING" "fbodyacc_bandsenergy_9_16...333" -0.935474407089337
1 "WALKING" "fbodyacc_energy_x" -0.818789354236311
1 "WALKING" "fbodyacc_energy_y" -0.669529376397694
1 "WALKING" "fbodyacc_energy_z" -0.794034650662824
1 "WALKING" "fbodyacc_entropy_x" -0.0301209415097983
1 "WALKING" "fbodyacc_entropy_y" -0.033778883556196
1 "WALKING" "fbodyacc_entropy_z" -0.101002286654179
1 "WALKING" "fbodyacc_iqr_x" -0.519429387218156
1 "WALKING" "fbodyacc_iqr_y" -0.554565588660461
1 "WALKING" "fbodyacc_iqr_z" -0.702083332115274
1 "WALKING" "fbodyacc_kurtosis_x" -0.525705892481556
1 "WALKING" "fbodyacc_kurtosis_y" -0.506971370703746
1 "WALKING" "fbodyacc_kurtosis_z" -0.407213740707781
1 "WALKING" "fbodyacc_mad_x" -0.508875039010086
